,Amazing,Good,Normal,Bad,Awful
writing,0.0008344666919925682,-0.003946915740696568,0.018485107679277937,-0.02112064886862352,-0.00405072282677441
kaballah,-0.02648845586728513,0.044946657497549586,-0.0011689827611863404,-0.025725888367683438,-0.026908461448492686
family,0.04380208166756682,-0.12633161673358498,0.03005147743695844,0.09145838730764815,0.06350111109234746
hospital,-0.03169651300901774,-0.03712078603566356,0.011054353710040727,0.13786704964214883,-0.016162403016312547
News Update,0.18271611456373876,-0.09860975359488697,0.01947775626138851,-0.03325504861568995,-0.09505112957794833
learning,-0.05620995562769554,-0.04152273992686974,0.07357941763480699,0.039658276086351134,0.02259876906953306
yoga,0.01037473038244129,0.011402538202442069,0.009211887981875463,-0.02907220089642905,-0.0304085979797337
video editing,-0.027434559802765008,-0.022439635583277114,0.071752821435127,-0.013374389126343783,-0.013989185876101476
walk,0.20523406026777688,-0.0782953854240267,-0.034151394729620824,-0.03379100396960161,-0.08566021159701277
prayer,0.1485601965074474,-0.08886056333942657,0.01824201781737919,-0.04686003789480293,-0.043310601720229845
podcast,-0.033851332758778226,0.044318684349933746,-0.012102828092761565,-0.003987707266044258,-0.015245992930239146
party,-0.038863882767454005,0.023118587329865242,0.031172268384221206,-0.018946201245049626,-0.019817124233432605
Documentary,-0.05518098315074092,-0.0005383491339776743,0.05168340597942179,0.003607947229629254,0.0030262378377992638
movies,-0.021466658173502472,0.06423241880878176,-0.014166020609829051,-0.05610975016313058,-0.026323197798068087
Audio books,0.11379621451244994,0.013613341778469986,-0.04622459572439833,-0.08293543394846241,-0.06424341617399772
Poetry,0.022322590732115566,-0.030379139102628752,0.0588174235081794,-0.03574865738886506,-0.03739195923714062
write diary,-0.0014981938516923587,0.02561166066426113,-0.014166020609829034,-0.003218117268328759,-0.026323197798068146
shave,-0.0018441357749457968,-0.07382750196150345,0.09571985570957546,0.01730192765403582,-0.015134886927027118
power nap,0.09320265241932704,-0.04747394099132378,0.026881860968246792,-0.03249656354732648,-0.06870986056345012
good meal,0.19553722598511147,-0.07753813369681613,-0.005646561739702909,-0.059597618637359344,-0.09477646413434765
cleaning,-0.03410734638426057,0.025630608938439846,0.061156992263225934,-0.05459848959504855,-0.050367550397021704
Email,-0.008577274710582498,0.009867293763180875,-0.0032431716331607907,0.0031319021723899046,-0.004553777291637888
reading,0.007356446791968321,0.07942610596338162,-0.05465926870447253,-0.0417456447710648,-0.05315213304475741
songs,0.19362409634831157,-0.10596456142896603,-0.004443969549957996,-0.03898778851407309,-0.051056717926752794
meditation,0.1675936755692175,0.06546031214029875,-0.07991571781931911,-0.15987841872477254,-0.13771064628907803
diet,0.13756683109518317,0.031164490413784836,-0.07379562676787751,-0.1051233095001039,-0.07463419323734588
fasting,0.14824086637808864,-0.005687076053723247,-0.07602889937438416,-0.06618174801891247,-0.04553250854661225
Watching series,0.15773983889371368,-0.03064689304046176,-0.030570821514512708,-0.05401402131816809,-0.09626127938942432
research,-0.05583047073982812,-0.004074857639834034,0.05053448648147211,0.02143424016163298,-0.003279091470617625
Recording,-0.013035498153429506,-0.00982588007731725,0.007538834017247694,0.039083881084342555,-0.006766527479328898
Exercise,0.0727880538368597,-0.02227366262026991,-0.07311683149261929,0.04228192706228263,0.009657212638454498
gaming,-0.04157408039455183,0.028861821353843867,-0.035656587079598415,-0.010422555028759207,0.07816053818026394
penpal,0.06537335614685617,0.03976799216538945,-0.012342791898723473,-0.06766504317106038,-0.11199944689239091
repair,-0.025509314083882087,0.08469875729291187,-0.027125269938675207,-0.04789302961090723,-0.05009458653157722
holotropic,0.08778952587153215,-0.05321811563901747,0.014021790099786127,-0.027998751809963907,-0.029285804358489848
coding/cooking/tutorial,-0.04817649709304706,0.04308814275234362,0.008993184891144892,-0.018982374264657306,-0.009882811954400246
shopping,-0.014160218694312332,0.018791150700070737,-0.014881660021718793,-0.02190189481488422,0.02927870296211105
reddit,0.2022057977128679,-0.11141058872426773,0.007352088731957084,-0.045197679072359186,-0.06785812860768158
jobs,-0.012859461252354796,0.017551835148025337,0.0028567273733065435,-0.009444508533087075,-0.012478416855340442
shower,0.12954191081664276,-0.044173389933335694,-0.006444431561257085,-0.06883153337108626,-0.04575393582037075
Art,0.06318155873541077,-0.12688086982792535,0.07980573012846598,0.04865465791404541,-0.012043040607217751
friends,0.020384707671676203,-0.006151080609117077,-0.005767231620815899,-0.026885059352349052,0.014586530310101733
designing,-0.016645622210632902,0.05594737761783347,-0.03656646096333822,0.009567291244936918,-0.04115807690879845
love,-0.054268113502008795,0.053775007469425914,-0.007221013095170918,-0.017798429241539578,0.0035791577213796196
new things,-0.009783118203735884,0.09314110138559954,-0.05284325558449681,-0.04380815817192725,-0.05527123640058777
travel,0.021124215106544147,-0.03713303710917801,-0.018364075597002014,0.05360612528496914,0.025461813036702762
phd,0.08948780293996574,-0.04283145646573439,-0.04247359265924666,-0.02047578165740879,0.03434215509340877
Amazing,1.0,-0.4980937788017179,-0.22579754240848854,-0.10885307523259843,-0.11385685643127136
Good,-0.4980937788017179,1.0,-0.5036926155456511,-0.24282146558931653,-0.25398353410739666
Normal,-0.22579754240848854,-0.5036926155456511,1.0,-0.11007664120197982,-0.1151366675400743
Bad,-0.10885307523259843,-0.24282146558931653,-0.11007664120197982,1.0,-0.05550538858876083
Awful,-0.11385685643127136,-0.25398353410739666,-0.1151366675400743,-0.05550538858876083,1.0
