,activity,value,Amazing,Good,Normal,Bad,Awful
0,songs,True,0.49645390070921985,0.2688679245283019,0.3197278911564626,0.2222222222222222,0.22448979591836735
1,songs,False,0.5035460992907801,0.7311320754716981,0.6802721088435374,0.7777777777777778,0.7755102040816326
2,meditation,True,0.7801418439716312,0.6226415094339622,0.5102040816326531,0.3333333333333333,0.32653061224489793
3,meditation,False,0.2198581560283688,0.37735849056603776,0.4897959183673469,0.6666666666666666,0.673469387755102
4,kaballah,True,0.0070921985815602835,0.014150943396226415,0.006802721088435374,0.0,0.0
5,kaballah,False,0.9929078014184397,0.9858490566037735,0.9931972789115646,1.0,1.0
6,video editing,True,-1.0,-1.0,-1.0,-1.0,-1.0
7,video editing,False,1.0,0.9976415094339622,0.9863945578231292,1.0,1.0
8,jobs,True,0.028368794326241134,0.0330188679245283,0.027210884353741496,0.027777777777777776,0.02040816326530612
9,jobs,False,0.9716312056737588,0.9669811320754716,0.9727891156462585,0.9722222222222222,0.9795918367346939
10,shower,True,0.6170212765957447,0.4669811320754717,0.48299319727891155,0.3611111111111111,0.3877551020408163
11,shower,False,0.3829787234042553,0.5330188679245284,0.5170068027210885,0.6388888888888888,0.6122448979591837
12,yoga,True,0.014184397163120567,0.014150943396226415,0.013605442176870748,0.0,0.0
13,yoga,False,0.9858156028368794,0.9858490566037735,0.9863945578231292,1.0,1.0
14,new things,True,0.2907801418439716,0.3490566037735849,0.25170068027210885,0.2222222222222222,0.20408163265306123
15,new things,False,0.7092198581560284,0.6509433962264151,0.7482993197278912,0.7777777777777778,0.7959183673469388
16,good meal,True,0.8368794326241135,0.6179245283018868,0.6802721088435374,0.5833333333333334,0.46938775510204084
17,good meal,False,0.16312056737588654,0.38207547169811323,0.3197278911564626,0.4166666666666667,0.5306122448979592
18,cleaning,True,0.18439716312056736,0.22169811320754718,0.272108843537415,0.1111111111111111,0.12244897959183673
19,cleaning,False,0.8156028368794326,0.7783018867924528,0.7278911564625851,0.8888888888888888,0.8775510204081632
20,reddit,True,0.8156028368794326,0.5471698113207547,0.6190476190476191,0.5555555555555556,0.46938775510204084
21,reddit,False,0.18439716312056736,0.4528301886792453,0.38095238095238093,0.4444444444444444,0.5306122448979592
22,prayer,True,0.6170212765957447,0.419811320754717,0.4897959183673469,0.4166666666666667,0.3673469387755102
23,prayer,False,0.3829787234042553,0.5801886792452831,0.5102040816326531,0.5833333333333334,0.6326530612244898
24,Watching series,True,0.7588652482269503,0.589622641509434,0.5714285714285714,0.5555555555555556,0.40816326530612246
